Country,Region,Maker,"First Fursuit Social Media Post",Link,Suits Added: 838/855 - 99% Complete (132 Suits Remaining),No of Suits,Suits Added,Completed By
United States,Texas,Azflip,06/04/2016,Azflip,http://www.furaffinity.net/user/azflip,3,Complete,Ricotiger
United States,Unknown,Azure Coyote Studios,15/09/2009,Azure Coyote Studios,http://www.azurecoyote.com/,7,Complete,Ricotiger
United States,Georgia,B3 Mascots,15/06/2005,B3 Mascots,http://b3mascots.com/,64,Complete,Ricotiger
United States,North Carolina,Bad Doge Suits,15/06/2016,Bad Doge Suits,https://www.furaffinity.net/user/baddogesuits/,8,Complete,Ricotiger
United States,Unknown,Barking Bats Creations,11/11/2004,Barking Bats Creations,https://twitter.com/BarkingBat,5,Complete,Ricotiger
United States,Georgia,Barking Mad! Suits,15/06/2013,Barking Mad! Suits,http://barkingmadsuits.com/,14,Complete,Ricotiger
United States,Unknown,Bat Cat Suits,16/09/2015,Bat Cat Suits,https://batcatsuits.wixsite.com/batcatsuits,29,Complete,Ricotiger
United States,California,Battitude Studios,15/12/2014,Battitude Studios,http://www.furaffinity.net/user/battitudestudios,13,Complete,Ricotiger
United States,Colorado,Beast Makers Fursuits,15/06/2017,Beast Makers Fursuits,https://www.furaffinity.net/user/beastmakersfursuits/,1,Complete,Ricotiger
United States,California,Beastcub Creations,15/06/2008,Beastcub Creations,http://www.beastcub.com/,307,Complete,Ricotiger
United Kingdom,Unknown,Beauty of the Bass,15/06/2012,Beauty of the Bass,https://www.beautyofthebass.com/,12,Complete,Ricotiger
United States,Unknown,Beetlecat Originals,12/10/2010,Beetlecat Originals,http://www.beetlecatoriginals.com/,67,Complete,Ricotiger
United States,Unknown,Benzene6,12/12/2008,Benzene6,https://www.furaffinity.net/user/benzene6/,5,Complete,Ricotiger
United States,Pennsylvania,Beta Raptor,04/07/2016,Beta Raptor,https://www.furaffinity.net/user/betaraptor,16,Complete,Ricotiger
United States,Unknown,Big Jaw Costumes,06/08/2014,Big Jaw Costumes,http://www.furaffinity.net/user/bigjaw/,4,Complete,Ricotiger
United States,Unknown,Bio Pelt Productions,15/06/2013,Bio Pelt Productions,http://www.furaffinity.net/user/BioPelt,25,Complete,Ricotiger
United States,Unknown,Biohazardous,06/01/2016,Biohazardous,https://www.furaffinity.net/user/biohazardous,1,Complete,Ricotiger
United States,Unknown,Bird King Creations,16/01/2014,Bird King Creations,http://www.birdkingcreations.com/,18,Complete,Ricotiger
Chile,Viña del Mar,Birty Creations,29/05/2014,Birty Creations,http://www.furaffinity.net/user/birtycreations/,7,Complete,Ricotiger
United States,California,Black Back Studio,12/11/2014,Black Back Studio,http://www.twitter.com/emberisolte,2,Complete,Ricotiger
United States,California,Black Lion Designs,15/06/2018,Black Lion Designs,http://www.furaffinity.net/user/BlackLion-Designs,3,Complete,Ricotiger
United States,New Orleans,Blix Fox Fursuits,15/03/2013,Blix Fox Fursuits,https://www.furaffinity.net/user/blixfox/,20,Complete,Ricotiger
United States,Carolina,Blue Canary,19/10/2012,Blue Canary,https://www.furaffinity.net/user/bluecanary,24,Complete,Ricotiger
United Kingdom,Unknown,Blue Fox Fursuits,22/01/2015,Blue Fox Fursuits,http://www.bf-fursuits.com/,200,Complete,Ricotiger
United States,Unknown,Blue Harbor Mascots,16/08/2011,Blue Harbor Mascots,http://blueharbormascots.com/,26,Complete,Ricotiger
United States,Washington,Blue Nose Creations (BNC) Costumes,12/27/2012,Blue Nose Creations (BNC) Costumes,http://www.bncreationcostumes.com/,129,Complete,Ricotiger
United States,Unknown,Blue or Bust Fursuits,01/07/2016,Blue or Bust Fursuits,http://blue-or-bust-fursuits.weebly.com/,3,No Names,Ricotiger
United States,Minnesota,Blue Rabbit Studios,14/09/2015,Blue Rabbit Studios,http://blue-rabbit-studios.com/,24,Complete,Ricotiger
United States,California,Bongo Queen,15/06/2008,Bongo Queen,http://www.furaffinity.net/user/bongoqueen/,4,Complete,Ricotiger
United States,Massachusetts,Bouncy Bat Works,04/09/2015,Bouncy Bat Works,https://www.bouncybatworks.com/,13,Complete,Ricotiger
France,Unknown,Brek Wolf,13/08/2015,Brek Wolf,http://www.furaffinity.net/user/brekwolf,3,Complete,Ricotiger
United States,Ohio,Brush Wolf Studios,21/07/2017,Brush Wolf Studios,https://www.brushwolfstudio.com/,20,Complete,Shooter
United States,South Carolina,Builder Bear Studios,15/06/2013,Builder Bear Studios,http://www.furaffinity.net/user/eddiebear,11,Complete,Ricotiger
United States,Minnesota,Buppa Spirit Wolf,15/06/2014,Buppa Spirit Wolf,https://www.furaffinity.net/user/buppaspiritwolf/,35,Complete,Ricotiger
United States,Montana,"Butterfly Back Fursuits (
Mushi Magic Suits)",01/01/2013,Butterfly Back Fursuits,https://www.furaffinity.net/user/butterflybackfursuits,25,Complete,Ricotiger
United States,Loisiana,By Bunny Fursuits,22/09/2009,By Bunny Fursuits,http://www.furaffinity.net/user/bunny,15,Complete,Ricotiger
United States,Illinois,ByCats4Cats,15/05/2012,ByCats4Cats,http://bycats4cats.com/,217,Complete,Ricotiger
United States,Texas,Cabbits Co. (Megumibish),13/06/2013,Cabbits Co.,https://cabbitsco.jimdo.com/,23,Complete,Ricotiger
United States,Unknown,Caffeinated Crafts,15/06/2014,Caffeinated Crafts,https://www.furaffinity.net/user/caffeinated.crafts/,3,Complete,Ricotiger
United Kingdom,Wales,Cains Creations (Ionzy),27/04/2018,Cains Creations,https://www.instagram.com/cains_creations/?utm_source=ig_profile_share&igshid=j0ikkse5vmgc,3,Complete,Ricotiger
United States,Indiana,Calico Cougar Studios,22/09/2014,Calico Cougar Studios,https://www.furaffinity.net/user/calicocougar/,20,Complete,Ricotiger
United States,Unknown,Calypsonight,09/07/2012,Calypsonight,http://www.furaffinity.net/user/calypsonight/,2,Complete,Ricotiger
United States,California,Candi Fursuits,15/06/2017,Candi Fursuits,http://www.furaffinity.net/user/candi.fursuits,5,Complete,Ricotiger
United States,Alaska,Candyxdog,15/06/2009,Candyxdog,http://www.furaffinity.net/user/xxscenesterfur/,7,Complete,Ricotiger
United States,Colorado,Canine Hybrid Creations,16/09/2011,Canine Hybrid Creations,http://caninehybrid.net/,5,Complete,Ricotiger
United States,Pennsylvania,Cant of Togs,23/10/2013,Cant of Togs,https://www.cantoftogs.com/,37,Complete,Ricotiger
United States,Unknown,CardinalFSR,15/06/2012,CardinalFSR,https://www.furaffinity.net/user/cardinalfsr/,9,Complete,Ricotiger
United States,Unknown,Carmal Coffee Fursuits,15/06/2015,Carmal Coffee Fursuits,http://www.furaffinity.net/user/CarmalCoffeeFur,15,Complete,Ricotiger
United States,North Carolina,Carolina Critters,06/04/2016,Carolina Critters,http://www.furaffinity.net/user/Carolina-Critters,6,Complete,Ricotiger
United States,Unknown,Carpet Shark Fursuits,15/06/2016,Carpet Shark Fursuits,https://arwenscoots.wixsite.com/carpetshark,5,Complete,Ricotiger
United Kingdom,Scotland,Cassius Crafts,01/10/2012,Cassius Crafts,https://www.cassiuscrafts.com/,14,Complete,Ricotiger
Netherlands,Unknown,Cat and Cockatoo,15/06/2018,Cat and Cockatoo,http://www.furaffinity.net/user/catandcockatoo/,2,Complete,Ricotiger
United States,Indiana,Cat Tails Up,17/01/2014,Cat Tails Up,https://www.weasyl.com/~cattailsup,22,Complete,Ricotiger
United States,Unknown,Cawstumes,27/11/2017,Cawstumes,https://www.furaffinity.net/gallery/cawstumes/,25,Complete,Ricotiger
