Country,Region,Maker,"First Fursuit Social Media Post",Link,Suits Added: 838/855 - 99% Complete (132 Suits Remaining),No of Suits,Suits Added,Completed By
Australia,Unknown,Fallimar,,Fallimar,http://www.furaffinity.net/user/fallimar,16,Complete,Ricotiger
United States,Colorado,Fancy Beast Suits,,Fancy Beast Suits,https://twitter.com/fancybeastsuits?s=09,20,Complete,Ricotiger
United States,Minnesota,Fancy Fish Fursuits,,Fancy Fish Fursuits,https://twitter.com/fancyfishfurs,6,Complete,Ricotiger
United States,New York,Faris Batwan,,Faris Batwan,http://www.furaffinity.net/user/farisbatwan/,152,Complete,Ricotiger
United Kingdom,Unknown,Faruku Costumes,,Faruku Costumes,https://farukucostumes.co.uk/,85,Complete,Ricotiger
United States,Unknown,Fatazndog,,Fatazndog,https://www.furaffinity.net/user/fatazndog/,3,Complete,Ricotiger
United Kingdom,Unknown,Fatkraken,,Fatkraken,https://www.deviantart.com/fatkraken,17,Complete,Ricotiger
United States,Tennessee,Fauxpawroo,,Fauxpawroo,https://twitter.com/fauxpawroo?lang=en,1,Complete,Ricotiger
United States,Unknown,Feast of Dreams,,Feast of Dreams,http://feastofdreams.net/,10,Complete,Ricotiger
United States,California,Featherbat Fursuits,,Featherbat Fursuits,https://www.furaffinity.net/user/featherbat/,17,Complete,Ricotiger
United States,Oklahoma,Feathered Faux Creatures,,Feathered Faux Creatures,http://www.furaffinity.net/user/ffc/,7,Complete,Shooter
United States,Unknown,Feely's Den,,Feely's Den,https://feelysden.weebly.com/,1,Complete,Ricotiger
Germany,Unknown,Felixkatz,,Felixkatz,https://www.furaffinity.net/user/felixkatz/,3,Complete,Ricotiger
United States,Georgia,Fenné Crafts,,Fenné Crafts,https://fennecrafts.com/Home/,45,Complete,Ricotiger
United States,Washington,Fenrirs Child,,Fenrirs Child,http://www.furaffinity.net/user/fenrirschild/,4,Broken Link,Ricotiger
United States,Unknown,Feral Facade,,Feral Facade,https://www.furaffinity.net/user/eddie-ka/,55,Complete,Ricotiger
United States,Oregon,Fiery Furs Studios,15/10/2014,Fiery Furs Studios,https://www.facebook.com/FieryFurs/,12,Complete,Ricotiger
United States,Pennsylvania,Finnish Fox,,Finnish Fox,http://www.furaffinity.net/user/finnishfox/,7,Complete,Ricotiger
Czech Republic,Unknown,Fionka Fursuits,,Fionka Fursuits,http://www.furaffinity.net/user/fionka,2,Complete,Ricotiger
Canada,Unknown,Firestorm Six,,Firestorm Six,http://www.furaffinity.net/user/firestormsix/,75,Complete,Ricotiger
United States,Unknown,Fish R Furiends Studios,,Fish R Furiends Studios,https://www.furaffinity.net/user/fishRfuriendsStudios,5,Complete,Ricotiger
United Kingdom,Scotland,Fixit Fursuits,,Fixit Fursuits,https://www.fixitfursuits.com/,0,No Names,Ricotiger
Estonia,Unknown,Flacko,,Flacko,http://www.furaffinity.net/user/flacko/,14,Complete,Ricotiger
United States,Unknown,Fleecerot,,Fleecerot,http://www.furaffinity.net/user/fleecerot/,24,Complete,Ricotiger
United States,Vienna,Fleeting Fennec,,Fleeting Fennec,http://www.fleetingfennec.com/,34,Complete,Ricotiger
Australia,Unknown,Flix Dragoness,,Flix Dragoness,https://www.deviantart.com/flixdragoness/,2,Complete ,Ricotiger
United States,Unknown,Flixsuits,,Flixsuits,https://www.deviantart.com/flixthefox/,6,Complete,Ricotiger
United States,Unknown,Floof Unlimited,,Floof Unlimited,https://www.furaffinity.net/user/FloofUnlimited,10,Complete ,Ricotiger
United Kingdom,Birmingham,Floof-Batsuits,,Floof-Batsuits,www.Floof-batsuits.weebly.com,8,Complete,Ricotiger
United States,New York,Flowercity Fursuits,,Flowercity Fursuits,https://flowercityfursuits.yolasite.com/,19,Complete ,Ricotiger
United States,California,Fluffenough Creations,,Fluffenough Creations,https://www.furaffinity.net/user/fluffenoughcreations/,22,Complete,Ricotiger
United States,Unknown,Fluffy Stuff Studio,,Fluffy Stuff Studio,https://www.furaffinity.net/user/fluffystuffstudio,12,Complete,Ricotiger
United States,Massachusetts,Fluorescent Paw Works,,Fluorescent Paw Works,http://libbygillette.wixsite.com/fluorescentpaw,2,No Names,Ricotiger
Australia,Unknown,Forever Furry Creations,,Forever Furry Creations,https://www.furaffinity.net/user/ffcreations/,16,Complete,Ricotiger
Poland,Unknown,Fossa Studio,,Fossa Studio,https://www.furaffinity.net/user/FossaStudio,6,Complete,Ricotiger
United Kingdom,Unknown,Fox Convoy,,Fox Convoy,http://www.furaffinity.net/user/foxconvoy,11,Complete,Ricotiger
United States,Unknown,Foxes and More,,Foxes and More,http://foxesandmore.com/,0,Complete,Shooter
Chile,Unknown,Foxfairy,,Foxfairy,https://www.furaffinity.net/user/foxfairy,37,Complete,Ricotiger
United States,Unknown,Foxfeather,,Foxfeather,https://www.furaffinity.net/user/foxfeather/,0,No Names,Ricotiger
United States,ohio,FoxPupMeow,,FoxPupMeow,https://twitter.com/FoxPupMeow,1,Complete,Ricotiger
United States,California,Foxysox Studios,,Foxysox Studios,https://foxysoxstudios.com/home.html,13,Complete,Ricotiger
United States,Unknown,Frazzles626,,Frazzles626,http://www.furaffinity.net/user/frazzles626/,9,Complete,Ricotiger
New Zealand,Unknown,Freakhound Studios,,Freakhound Studios,http://freakhoundstudios.com/,32,Complete,Ricotiger
Netherlands,Unknown,Freaksnow,,Freaksnow,http://www.furaffinity.net/user/freaksnow/,8,Complete,Ricotiger
United Kingdom,Ireland,Freedom Spirit Creations,,Freedom Spirit Creations,http://www.freedomspiritcreations.com/,13,Complete,Ricotiger
United States,Pennsylvania,Freya Fox,,Freya Fox,http://www.furaffinity.net/user/FreyaFox/,1,Complete,Ricotiger
United Kingdom,Unknown,Frostbite Fursuits,,Frostbite Fursuits,https://www.furaffinity.net/user/FrostbiteFursuits,11,Complete,Ricotiger
United States,Tennessee,Fruitsuit Creations,,Fruitsuit Creations,http://fruitsuitcreations.wixsite.com/fruitsuits,6,Complete,Ricotiger
United States,Massachusetts,Full Moon Special (CFF),,Full Moon Special,https://www.fullmoonspecial.com/,5,No Names,Ricotiger
Canada,Unknown,Fun Fur All,,Fun Fur All,http://fun-fur-all.com/,43,Complete,Ricotiger
United States,Wisconsin,Funky Soul,,Funky Soul,http://www.furaffinity.net/view/26836748/,0,Broken Link,Shooter
United Kingdom,Chester,Funny Farm Makers,,Funny Farm Makers,https://twitter.com/FunnyFarmMakers,21,Complete,Ricotiger
United States,ohio,Fur and Feathers,,Fur and Feathers,http://www.furaffinity.net/user/furandfeathersfursuits/,8,Complete,Ricotiger
United States,Oklahoma,Fur It Up,,Fur It Up,http://www.furitup.com/,99,Complete,Ricotiger
Canada,Québec,Fur The Win Studio,,Fur The Win Studio,https://www.furaffinity.net/user/furthewinstudio,86,Complete,Ricotiger
Germany,Amberg,Fur Your Dream,,Fur Your Dream,http://www.furaffinity.net/user/-narrow-,18,Complete,Ricotiger
United States,Unknown,Furbrications,,Furbrications,http://www.furaffinity.net/user/Furbrications,11,Complete,Ricotiger
Denmark,Unknown,FurDelicious,,FurDelicious,https://www.furaffinity.net/user/FurDelicious,8,Complete,Ricotiger
United States,Illinois,Furducers,,Furducers,https://www.etsy.com/shop/CerbCraft,6,No Names,Ricotiger
United States,California,Furensics Studios,,Furensics Studios,http://www.furaffinity.net/user/furensicsstudios/,20,Complete,Ricotiger
United States,Unknown,Furever Wear Fursuits,,Furever Wear Fursuits,https://www.facebook.com/FureverWearFursuits/,15,Complete,Shooter
United States,Michigan,Furfancy Costumes,,Furfancy Costumes,http://www.furfancycostumes.com/,104,Complete,Ricotiger
United States,North Carolina,Furfect Pit Studio,,Furfect Pit Studio,https://furfectpitstudio.webs.com/,3,Broken Link,Ricotiger
Germany,Unknown,FurForge,,FurForge,https://www.furaffinity.net/user/furforge/,8,Complete,Ricotiger
United States,Michigan,Furfrontier,,Furfrontier,https://www.furaffinity.net/user/QueenHyena,7,Complete,Ricotiger
United States,Unknown,Furgen Studios,,Furgen Studios,http://www.furaffinity.net/user/furgenstudios/,35,Complete,Ricotiger
United States,Michigan,Furhonor,,Furhonor,https://www.weasyl.com/~furhonor,1,No Names,Ricotiger
Mexico,Puebla,FurLaMascota,,FurLaMascota,https://twitter.com/FurLaMascota,14,Complete,Ricotiger
Russia,Unknown,FurR Club,,FurR Club,http://furr.club/en/,22,Complete,Ricotiger
United States,California,Furr Happens,,Furr Happens,https://twitter.com/furrhappens,35,No Names,Ricotiger
United States,Washington,Furred Fantasies,,Furred Fantasies,https://www.furaffinity.net/user/furredfantasies,1,No Names,Ricotiger
United States,Indiana,Furred Out Kreations,,Furred Out Kreations,http://furredoutkreations.wixsite.com/home,13,Complete,Ricotiger
United States,Unknown,Furry Crossing Creations,,Furry Crossing Creations,http://www.furaffinity.net/user/kawaiixteddy/,5,Complete,Ricotiger
Poland,Unknown,Furry Factory,,Furry Factory,https://www.furaffinity.net/user/furry-factory/,5,Complete,Ricotiger
Netherlands,Unknown,Furry Fursuit Maker,,Furry Fursuit Maker,https://www.furaffinity.net/user/FurryFursuitMaker,18,Complete,Ricotiger
Brazil,Sao Paulo,Furry Machine,,Furry Machine,http://www.furaffinity.net/user/furrymachine,29,Complete,Ricotiger
Russia,Unknown,Furry Squad,,Furry Squad,https://www.furaffinity.net/user/furry-squad,38,Complete,Ricotiger
Russia,Unknown,Furry Studio,,Furry Studio,http://furry-studio.com/en/,68,Complete,Ricotiger
United Kingdom,Unknown,Furry Tailor,,Furry Tailor,http://www.furrytailor.co.uk/,15,Complete,Ricotiger
Estonia,Unknown,Furry Time Creations,,Furry Time Creations,http://www.furaffinity.net/user/furrytimecreations/,2,Complete,Shooter
United States,Arizona,Furry-K9,,Furry-K9,https://furry-k9.livejournal.com/,5,Complete,Shooter
United States,Unknown,Furryious,,Furryious,https://www.deviantart.com/furryiouswolf,1,Complete,Shooter
United States,Chicago,Fursewna Studios,,Fursewna Studios,http://fursewnastudios.weebly.com/,5,Complete,Shooter
United States,Colorado,Fursonalities,,Fursonalities,http://fursonalities.com/,98,Complete,Ricotiger
United Kingdom,London,Fursuit Creations,,Fursuit Creations,http://www.fursuitcreations.co.uk/,23,Complete,Ricotiger
United States,Unknown,Fursuit Enterprise,,Fursuit Enterprise,http://www.fursuitenterprise.com/,112,Complete,Ricotiger
United States,Iowa,Fursuit Funday,,Fursuit Funday,https://www.furaffinity.net/user/Kaxeno,6,Complete,Shooter
United States,Texas,Fursuit Parade,,Fursuit Parade,http://fursuitparade.com/,20,Complete,Ricotiger
Hungary,Unknown,Fursuit Up,,Fursuit Up,https://www.fursuitup.com/home,39,Complete,Ricotiger
United States,Florida,Fursuits by Lacy,,Fursuits by Lacy,http://Fursuiting.com,221,Complete,Ricotiger
United States,New York,Fursuits by Mars,,Fursuits by Mars,https://fursuitsbymars.weebly.com/,28,Complete,Ricotiger
United Kingdom,Unknown,FursuitsUK Creations,,FursuitsUK Creations,https://twitter.com/FurSuitsUK,12,Complete,Ricotiger
United States,North Carolina,Furtastic Studios,,Furtastic Studios,https://www.furaffinity.net/user/FurtasticStudios,30,Complete,Ricotiger
Japan,Unknown,Furtic Studio,,Furtic Studio,http://furtic-studio.wixsite.com/index,0,No Names,Shooter
United States,Washington,FuruArts,,FuruArts,http://www.furaffinity.net/user/furuarts,13,Complete,Ricotiger
United States,Wisconsin,FurZombie Studios,,FurZombie Studios,https://furzombiestudios.com/,37,Complete,Ricotiger
United States,Florida,Fuzz Butt Fursuits,,Fuzz Butt Fursuits,https://www.fuzzbuttfursuits.com/,13,Complete,Ricotiger
United States,New York,Fuzzworks,,Fuzzworks,https://www.furaffinity.net/user/FuzzWorks,17,Complete,Ricotiger
United States,Unknown,Fuzzy Buns of Steel,,Fuzzy Buns of Steel,https://www.deviantart.com/grizzled-dog,1,Complete,Shooter
Netherlands,Unknown,Fuzzy Fur Creations,,Fuzzy Fur Creations,https://twitter.com/Dearly_doo,16,Complete,Ricotiger
United States,Unknown,Gaderian Wolf Fursuits,,Gaderian Wolf Fursuits,https://www.furaffinity.net/user/gaderian-wolf/,12,Complete,Ricotiger
United States,Florida,Galaxy Wolf Creation LLC,,Galaxy Wolf Creation LLC,http://www.galaxywolfcreations.com/,5,Complete,Ricotiger
United States,Mississippi,Galesmilax,,Galesmilax,https://galesmilax.sofurry.com/,2,Complete,Ricotiger
United States,New Jersey,GEEKpaw Productions,,GEEKpaw Productions,https://www.furaffinity.net/user/geekpaw,35,Complete,Ricotiger
United States,Unknown,Ghostwoodcreations,,Ghostwoodcreations,http://www.ghostwoodcreatures.com/,10,Complete,Ricotiger
United States,Unknown,Gitz,,Gitz,https://www.furaffinity.net/user/gitz/,1,Complete,Ricotiger
United States,Arizona,Glow Fox Studios,,Glow Fox Studios,https://twitter.com/GlowFoxStudios,5,Complete,Ricotiger
United States,Unknown,Glow Sheep,,Glow Sheep,https://www.deviantart.com/glowsheep,3,Complete,Shooter
United Kingdom,Peterborough,Go Fur It Studios,,Go Fur It Studios,https://gofurit.co.uk/,10,Complete,Shooter
United States,Pennsylvania,Gold Ribbon Studio,,Gold Ribbon Studio,https://www.goldribbonstudio.com/,11,Complete,Shooter
United States,Unknown,Golden Maw,,Golden Maw,https://www.goldenmaw.com/,65,Complete,Ricotiger
United States,Florida,Goldmouse Studios,,Goldmouse Studios,https://twitter.com/GoldMouseStudio?s=09,0,Complete,Shooter
United States,Arkansas,Goose Mom,,Goose Mom,https://www.facebook.com/TheGooseChaseFursuits/,11,Compplete,Shooter
United States,Unknown,Graveyard Stuffers Suits,,Graveyard Stuffers Suits,https://www.furaffinity.net/user/GraveyardStuffers,2,Complete,Shooter
United States,Unknown,GrayREALM Studio,,GrayREALM Studio,https://www.grayrealmstudio.com/,0,Complete,Shooter
United States,Florida,Greyfox Workshop,,Greyfox Workshop,https://www.instagram.com/greyfoxworkshop/,5,Complete,Shooter
Finland,Unknown,Grinning Tiger Disorder,,Grinning Tiger Disorder,http://gtdstudio.wixsite.com/gtdstudio,4,Complete,Ricotiger
United States,Oregon,Gronway Commissions,,Gronway Commissions,https://www.furaffinity.net/user/grontalis/,5,Complete,Shooter
United Kingdom,Oxford,GroovyGoat Costumes,,GroovyGoat Costumes,https://www.groovygoatcostumes.com/,6,Complete ,Shooter
United States,Florida,Grotto Creations,,Grotto Creations,http://www.grottocreations.com/,43,Complete,Ricotiger
United States,Unknown,Grove City Fursuits,,Grove City Fursuits,https://www.instagram.com/grovecitysuits/,7,Complete,Ricotiger
United States,West Viginia,Guinns Custom Creatures,,Guinns Custom Creatures,https://www.furaffinity.net/user/guinnscustomcreatures/,24,Complete,Ricotiger
United Kingdom,Ireland,Hakumei House,,Hakumei House,https://www.deviantart.com/hakumei94,2,Complete,Ricotiger
Italy,Unknown,Halfblood Creatures,,Halfblood Creatures,https://www.facebook.com/alteredcreatures/,2,Complete,Ricotiger
United States,Hawaii,Happy Tails Costumes,,Happy Tails Costumes,https://www.happytailscostumes.com/,42,Complete,Ricotiger
China,Unknown,Harvey Manki Kang Cat,,Harvey Manki Kang Cat,https://twitter.com/1366314389M,0,Complete,Shooter
Germany,Unknown,Hawthorn,,Hawthorn,http://www.furaffinity.net/user/hawthorn,6,Complete,Ricotiger
Canada,Rimouski,Haz Studio,,Haz Studio,http://www.furaffinity.net/user/haz-studio,9,Complete,Shooter
United Kingdom,Unknown,Head Over Tails,,Head Over Tails,https://www.furaffinity.net/user/kazumadiran/,23,Complete,Ricotiger
United States,New York,Headless Hare Creations,,Headless Hare Creations,https://headlessharecreations.weebly.com/,0,Complete,Shooter
United States,Arizona,Heads and Tails Studio,,Heads and Tails Studio,http://www.furaffinity.net/user/headsandtailsstudios/,206,Complete,Ricotiger
United States,Virginia,HeckGeck,,HeckGeck,https://madisonholbrook97.wixsite.com/heckgeck,5,Complete ,Shooter
Germany,België,Hell Charm,,Hell Charm,https://hellcharm.weebly.com/,0,Complete,Shooter
United States,Unknown,Hidden Arts,,Hidden Arts,https://www.deviantart.com/merkindesr/,10,Complete,Ricotiger
United States,Unknown,Hidden Treasury,,Hidden Treasury,http://www.hiddentreasury.com/,28,Complete,Ricotiger
United States,Illinois,Hiero Craft Creations,,Hiero Craft Creations,https://www.facebook.com/HieroCraftCreations,6,Complete,Ricotiger
Russia,St Petersburg,Hikarinaka (DKAG),,Hikarinaka (DKAG),https://vk.com/dolls_kingdom_ag,0,Complete,Shooter
United States,Unknown,HoneyspydeR,,HoneyspydeR,https://www.deviantart.com/honeyspyder,12,Complete,Ricotiger
United States,Utah,HoofnHard,,HoofnHard,https://www.furaffinity.net/user/hoofnhard/,2,Complete,Shooter
United States,Florida,Hooskydawg Fursuits,,Hooskydawg,http://meganthehusky.wixsite.com/hdfursuits,13,Complete,Ricotiger
United States,Washington,Hounds Teeth,,Hounds Teeth,https://www.hounds-teeth.com/,34,Complete,Shooter
Canada,Ontario,Hunters Creations,,Hunters Creations,https://twitter.com/Darkarcangel73,0,Complete,Shooter
Denmark,Unknown,Husky Moo Creations,,Husky Moo Creations,https://www.furaffinity.net/user/huskymoocreations,22,Complete,Ricotiger
United Kingdom,Unknown,Hybrid Studios,,Hybrid Studios,https://www.furaffinity.net/user/hybridstudios/,47,Complete,Ricotiger
United States,California,Hyena Girl,,Hyena Girl,https://www.furaffinity.net/user/hyenagirl,12,Complete,Ricotiger
United States,Indiana,Hyena Hoy,,Hyena Hoy,http://hyenahoy.weebly.com/,35,Complete,Ricotiger
Canada,Unknown,Hyokenseisou,,Hyokenseisou,https://www.deviantart.com/hyokenseisou-cosplay/,5,Complete,Ricotiger
United States,California,Ichi,,Ichi,http://www.furaffinity.net/user/ichiblack,4,Complete,Shooter
United States,New Jersey,Icy Paw Productions (Nevask),,Icy Paw Productions (Nevask),http://www.furaffinity.net/user/nevask/,49,Complete,Ricotiger
Slovakia,Unknown,IJustLoveStuff,,IJustLoveStuff,https://twitter.com/IjustLOVEstuff?lang=en,10,Complete,Ricotiger
United States,New Jersey,Illimearu,,Illimearu,https://www.furaffinity.net/user/illimearu/,5,Complete,Ricotiger
United States,Arizona,Inajiffy Creations,,Inajiffy Creations,https://inajiffy-creations.weebly.com/,27,Complete,Ricotiger
France,Unknown,Inerri Creatures,,Inerri Creatures,https://www.furaffinity.net/user/frostizoo/,26,Complete,Ricotiger
Australia,Unknown,Inkfire,,Inkfire,https://www.furaffinity.net/user/inkfire/,12,Complete,Ricotiger
Belgium,Liège,Irinae,,Irinae,http://www.furaffinity.net/user/irinaecreation,13,Complete,Ricotiger
Canada,Unknown,Isabelapparel,,Isabelapparel,http://www.furaffinity.net/user/isabelapparel/,9,Complete,Ricotiger
United States,Unknown,Isabella Price,,Isabella Price,http://www.furaffinity.net/user/isabellaprice/,3,Broken Link,Shooter
United States,Tennessee,ISqueakyPinky (Mini Wolf Arts),,ISqueakyPinky (Mini Wolf Arts),https://www.furaffinity.net/user/isqueakypinky,29,Complete,Ricotiger
United States,Wisconsin,Itallonova,,Itallonova,https://www.furaffinity.net/user/itallonova/,9,Complete,Ricotiger
Czech Republic,Unknown,Ivanitko,,Ivanitko,https://www.deviantart.com/ivanitko,5,Complete ,Shooter
United States,Massachusetts,Jax the Purple Bat,,Jax the Purple Bat,http://www.furaffinity.net/user/jax/,10,Complete,Shooter
United States,Ohio,Jeepers Creepers Suits,,Jeepers Creepers Suits,https://www.furaffinity.net/user/jeeperscreaturessuits/,22,Complete,Shooter
Canada,Unknown,Jello Vair,,Jello Vair,https://www.furaffinity.net/user/jello-vair/,5,Complete,Shooter
United States,Unknown,Jenetixx' Creations,,Jenetixx' Creations,https://www.facebook.com/JenetixxCreations/,5,Complete,Shooter
Canada,Alberta,Jesse Frosst,,Jesse Frosst,https://twitter.com/JesseFrosst,16,Complete,Ricotiger
United States,Washington,Jill Costumes,,Jill Costumes,http://www.jillcostumes.com/,105,Complete,Ricotiger
United States,Unknown,Jive (Crowbait),,Jive (Crowbait),https://www.furaffinity.net/user/crowbait/,5,Complete,Shooter
United States,Georgia,JjreamBig,,JjreamBig,http://www.furaffinity.net/user/jjreaming,2,Complete,Ricotiger
Canada,Alberta,Johara,,Johara,https://www.furaffinity.net/user/johara,10,Complete,Ricotiger
United States,Arizona,Jpupbob,,Jpupbob,https://www.furaffinity.net/user/jpupbob/,19,Complete,Ricotiger
United States,Unknown,Just a Dragon Creations,,Just a Dragon Creations,http://justadragoncreations.com/,15,Complete,Ricotiger
United States,Maryland,Just Fur Kicks,,Just Fur Kicks,https://www.furaffinity.net/user/just-fur-kicks,16,Complete,Ricotiger
Japan,Unknown,K-Line,,K-Line,https://www.furaffinity.net/user/kemono-line/,36,Complete,Ricotiger
United States,Wisconsin,Kaibab Costumes,,Kaibab Costumes,https://sites.google.com/site/kaibabcostumes/,1,Complete,Ricotiger
United States,Oregon,Kaiborg Studios,,Kaiborg Studios,https://twitter.com/KaiborgStudios,3,Complete ,Shooter
United States,North Carolina,Kaidas Kingdom,,Kaidas Kingdom,https://www.furaffinity.net/user/kaidaskingdom/,2,Complete,Ricotiger
United States,Cascadia,Kaiju Costumes,,Kaiju Costumes,https://www.kaijucostumes.com/,25,Complete,Shooter
Canada,Unknown,Kaijugal,,Kaijugal,https://kaijugal.livejournal.com/,1,Complete,Shooter
United States,Wisconsin,Kandorin Creations,,Kandorin Creations,http://www.furaffinity.net/user/keeatah,90,Complete,Ricotiger
United States,Unknown,Kangaroo Feathers,,Kangaroo Feathers,http://furaffinity.net/user/KangarooFeathers,0,Broken Link,Shooter
United States,Tennessee,Kangaroo Reef Mascots,,Kangaroo Reef Mascots,https://m.facebook.com/Kangarooreefmascots/,1,Complete,Ricotiger
United States,California,Kani n' Hyacin Productions,,Kani n' Hyacin Productions,https://kaninhyacin.weebly.com/,0,Complete,Shooter
United States,New York,Kara Cat Creations,,Kara Cat Creations,http://www.furaffinity.net/user/karacatcreations/,18,Complete,Shooter
Australia,Queensland,Karthegrax,,Karthegrax,http://www.furaffinity.net/user/karthegrax,2,Complete,Ricotiger
United States,Ohio,Kawaii Vixen,,Kawaii Vixen,http://www.furaffinity.net/user/kawaiivixen/,4,Complete,Ricotiger
United States,Unknown,Kayla's Kritterz,,Kayla's Kritterz,https://www.furaffinity.net/user/bluewolfcheetah/,34,Complete,Ricotiger
Germany,Unknown,KaZ Fursuits,,KaZ Fursuits,https://twitter.com/KaZFursuits,2,Complete ,Shooter
United States,Utah,Kazulgfox,,Kazulgfox,https://www.kazplay.com/,9,Complete,Ricotiger
United States,Louisiana,Kazuto Kurama,,Kazuto Kurama,http://www.furaffinity.net/user/kazutokurama/,16,Complete ,Shooter
United States,Pennsylvania,Kazy Cat Creations,,Kazy Cat Creations,https://www.kazycatcreations.com,12,Complete,Shooter
United States,Ohio,KC Costumes,,KC Costumes,https://www.kc-costumes.com/,18,Complete,Ricotiger
United States,Ohio,Keeper of Dreams,,Keeper of Dreams,https://keeperofdreams.livejournal.com/,7,Complete,Shooter
Germany,Unknown,Kegawa Creation,,Kegawa Creation,http://www.kegawacreation.de/?lang=en,57,Complete,Ricotiger
United States,Georgia,Keiko Vixen,,Keiko Vixen,http://www.furaffinity.net/user/floxxylady/,14,Complete,Ricotiger
United States,Unknown,Keira Blacktalon,,Keira Blacktalon,https://www.deviantart.com/fleech-hunter/,5,Complete,Ricotiger
United States,Unknown,KemoSuki,,KemoSuki,http://www.furaffinity.net/user/isoniku/,18,Complete,Ricotiger
Brazil,Unknown,Keto Fursuits,,Keto Fursuits,http://www.furaffinity.net/user/keto-schneider/,23,Complete,Ricotiger
United States,Indiana,Keyoki,,Keyoki,https://twitter.com/keyoki,3,Broken Link,Shooter
United Kingdom,Unknown,Keyoto,,Keyoto,https://www.deviantart.com/sasukeharber,8,Complete,Ricotiger
United States,Unknown,Kilcodo Costumes,,Kilcodo Costumes,http://www.kilcodocostumes.com/index.htm,177,Complete,Ricotiger
United States,California,Kimba Snowpaw,,Kimba Snowpaw,http://www.furaffinity.net/user/kimbasnowpaw/,3,Complete,Ricotiger
United States,Unknown,Kinghime,,Kinghime,https://www.furaffinity.net/user/kinghime/,23,Complete,Ricotiger
Mexico,Unknown,Kinred Fox,,Kinred Fox,http://www.furaffinity.net/user/kinredfox,6,Complete,Ricotiger
Finland,Helsinki,Kisu,,Kisu,https://twitter.com/KisuPantteri,6,Complete,Shooter
United States,Unknown,Kitsune Illusions,,Kitsune Illusions,http://www.kitsuneillusions.com,10,Complete,Ricotiger
United States,New Hampshire,Kitsune Studios,,Kitsune Studios,https://www.furaffinity.net/user/kitsunestudios,22,Complete,Ricotiger
Venezuela,Unknown,Kitsunerawr,,Kitsunerawr,https://www.furaffinity.net/user/kitsunerawr/,4,Complete,Ricotiger
United States,Michigan,Kitt Creations,,Kitt Creations,https://www.furaffinity.net/user/kittcreations/,13,Complete,Ricotiger
Germany,Leipzig,Kitty Fluff Costumes,,Kitty Fluff Costumes,http://www.kittyfluff.de/,0,Complete,Shooter
United States,Georgia,Kiwihunter,,Kiwihunter,http://www.furaffinity.net/user/kiwihunter8/,39,Complete,Ricotiger
United States,Washington,Klickitat Matrices,,Klickitat Matrices,https://twitter.com/malytwotails,3,No Names,Ricotiger
United Kingdom,Unknown,Kloofsuits,,Kloofsuits,https://www.kloofsuits.co.uk/commissions,39,Complete,Ricotiger
United States,Washington,Knossos,,Knossos,http://www.furaffinity.net/user/knossos/,2,Complete,Shooter
United States,Unknown,Kodi Fursuits,,Kodi Fursuits,https://www.kodimade.com/,100,Complete,Ricotiger
United States,Unknown,KomicKrazi Studios,,KomicKrazi Studios,http://www.komickrazi.com/,306,Complete,Ricotiger
United Kingdom,Scotland,Kurauno,,Kurauno,http://www.furaffinity.net/user/kurauno/,18,Complete,Ricotiger
United States,Idaho,Kyanite Creations,,Kyanite Creations,https://www.etsy.com/shop/KyaniteCreations,1,Complete,Shooter
United States,South Carolina,Laela McPitty Suits,,Laela McPitty Suits,http://laelamcpittysuits.webs.com/,0,Broken Link,Shooter
United States,Colorado,Laken Steeljaw,,Laken Steeljaw,https://laken-steeljaw.livejournal.com/,3,Complete,Shooter
United States,Florida,Lavafox,,Lavafox,http://www.furaffinity.net/user/lavafox/,83,Complete,Shooter
Canada,Winnipeg,Lazy Leopard Fursuits,,Lazy Leopard Fursuits,https://lazyleopard.ca/,2,Complete ,Shooter
Australia,Queensland,Lazy Lupe,,Lazy Lupe,http://www.furaffinity.net/user/lazylupe/,193,Complete,Ricotiger
Germany,Saxony,Leipziger-Fursuit-Schmiede,,Leipziger-Fursuit-Schmiede,https://www.furaffinity.net/user/leipziger-fursuit-schmiede/,12,Complete,Shooter
United States,Illinois,Lemonbrat Fursuits,,Lemonbrat Fursuits,http://www.lemonbratfursuits.com/,52,Complete,Ricotiger
United States,Alabama,Lenny Mutt,,Lenny Mutt,http://www.furaffinity.net/user/lennymutt,1,Complete,Shooter
United States,Tennessee,LeoneLaTwerk,,LeoneLaTwerk,https://www.furaffinity.net/user/leonelatwerk/,3,Complete,Shooter
United Kingdom,Unknown,Leopardcorgi Creatures,,Leopardcorgi Creatures,http://www.leopardcorgi.co.uk/,3,Complete,Shooter
United States,Unknown,Lhbeau,,Lhbeau,https://www.furaffinity.net/user/lhbeau/,6,Complete,Shooter
United States,Unknown,Ligercraft Suits,,Ligercraft Suits,https://www.furaffinity.net/user/ligercraftsuits/,7,Complete,Ricotiger
United Kingdom,Unknown,Lillie Likes Peas,,Lillie Likes Peas,https://www.furaffinity.net/user/LilliLikesPeas,0,Broken Link,Shooter
United States,Georgia,Lion of the Sun,,Lion of the Sun,http://lionofthesun.com/,4,Complete,Shooter
United States,New York,Liquid Sunshine Design Fursuits,,Liquid Sunshine Design Fursuits,https://twitter.com/LSDfursuits,15,Complete,Shooter
