Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
Mushi toony Owner: MushiMagix Species: leopard DB Added: 2010-04-11 Created: 2009-04-03 Updated: 2011-08-26 Builder(s): MushiMagic,Mushi Toony,Leopard,151,03-04-2009,26-08-2011,Butterfly Back Fursuits (Mushi Magic Suits),84,Partial,None,Toony,Plantigrade,Five,Grey,Red,Snow Leopard,
Noir Wolf Owner: Noir Species: gray wolf DB Added: 2014-09-02 Created: 2013-03-00 Updated: 2014-09-02 Builder(s): MushiMagic,Noir Wolf,Wolf,210,28-02-2013,02-09-2014,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,None,Realistic,Digitigrade,Five,Black,Green,Wolf,
Omen Owner: MushiMagix Species: fox DB Added: 2010-04-11 Created: Updated: 2011-08-26 Builder(s): MushiMagic,Omen,Fox,100,,26-08-2011,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,None,Realistic,Digitigrade,Five,Black,Brown,Fox,
,Oren,Dog Collie,42,,,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,Plush,Realistic Toony,Digitigrade,Five,Red,Blue,Dog Half Cocked Medium Tail,
,Pink Pup,Hybrid Custom,120,,,Butterfly Back Fursuits (Mushi Magic Suits),84,Partial,None,Toony,Plantigrade,Four,Pink,Blue,Hybrid,
,Raspberry,Raccoon,183,,,Butterfly Back Fursuits (Mushi Magic Suits),84,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Raccoon,
Rio Owner: MushiMagix Species: cat DB Added: 2011-02-14 Created: 2010-12-14 Updated: 2011-08-26 Builder(s): MushiMagic,Rio,Cat Domestic,18,14-12-2010,26-08-2011,Butterfly Back Fursuits (Mushi Magic Suits),84,Partial,None,Realistic Toony,Digitigrade,Five,Grey,Green,Domestic Cat,
ROLLTECK Owner: ROLLTECK Species: fox DB Added: 2012-01-25 Created: Updated: 2012-01-25 Builder(s): MushiMagic,Rollteck,Fox,100,,25-01-2012,Butterfly Back Fursuits (Mushi Magic Suits),84,Partial,None,Realistic Toony,N/A,N/A,Grey,Blue,Fox,
,Shay,Bobcat,15,,,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,None,Realistic Toony,Plantigrade,Five,Brown,Brown,Bobcat,
,Sicarius,Lion,152,,,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,None,Realistic,Plantigrade,Five,Brown,Yellow,Lion,
Simbayo Owner: Simbayo Species: lion DB Added: 2011-09-29 Created: 2011-09-28 Updated: 2013-04-05 Builder(s): MushiMagic,Simbayo,Lion,152,28-09-2011,05-04-2013,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,None,Toony,Digitigrade,Five,Brown,Green,Lion,
,Snow Leopard,Snow Leopard,196,,,Butterfly Back Fursuits (Mushi Magic Suits),84,Partial,None,Toony,Plantigrade,Five,Grey,Blue,Snow Leopard,
Takara 2 Owner: MushiMagix Species: tiger DB Added: 2010-09-02 Created: Updated: 2011-02-14 Builder(s): MushiMagic,Takara 2,Tiger,202,,14-02-2011,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,None,Toony,Plantigrade,Five,Orange,Blue,Tiger,
Tumble Owner: MushiMagix Species: dog DB Added: 2011-02-14 Created: 2011-01-29 Updated: 2011-08-26 Builder(s): MushiMagic,Tumble,Dog Domestic,47,29-01-2011,26-08-2011,Butterfly Back Fursuits (Mushi Magic Suits),84,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Dog Half Cocked Stub Tail,
,Warlin,Hybrid Custom,120,,,Butterfly Back Fursuits (Mushi Magic Suits),84,Partial,None,Realistic,Plantigrade,Five,White,Green,Hybrid,
,Artstic Liberty Lion,Lion,152,,,By Bunny Fursuits,85,Partial,None,Toony,N/A,N/A,Brown,Green,Lion,
,Ash,Rabbit,182,,,By Bunny Fursuits,85,Fullsuit,None,Toony,Plantigrade,Five,Purple,Blue,Rabbit,
,Atticus,Cougar,23,,,By Bunny Fursuits,85,Partial,None,Toony,N/A,N/A,Grey,Blue,Feline (Long Tail),
Coyote Owner: JoyTheBunny Species: coyote DB Added: 2008-07-21 Created: 2007-10-25 Updated: 2008-07-21 Builder(s): Joy the Bunny,Coyote,Coyote,25,25-10-2007,21-07-2008,By Bunny Fursuits,85,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Dog Thick Tail,
Delilah Owner: JoyTheBunny Species: cat DB Added: 2008-07-21 Created: 2008-02-01 Updated: 2010-08-12 Builder(s): Joy the Bunny,Delilah,Cat Domestic,18,01-02-2008,12-08-2010,By Bunny Fursuits,85,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Domestic Cat,
"Fanged Rabbit Owner: JoyTheBunny Species: bunny , wolf DB Added: 2007-02-25 Created: 2006-10-16 Updated: 2010-08-12 Builder(s): Joy the Bunny",Fanged Rabbit,Hybrid Custom,120,16-10-2006,12-08-2010,By Bunny Fursuits,85,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Hybrid,
Fennec Fox Owner: JoyTheBunny Species: DB Added: 2007-05-18 Created: 2007-04-05 Updated: 2010-08-12 Builder(s): Joy the Bunny,Fennec Fox,Fox,100,05-04-2007,12-08-2010,By Bunny Fursuits,85,Partial,None,Toony,N/A,N/A,Brown,Blue,Fox,
"Jebb Owner: JoyTheBunny Species: Beagle , bobCat DB Added: 2009-11-15 Created: 2009-05-01 Updated: 2009-11-15 Builder(s): Joy the Bunny",Jebb,Dog Beagle,34,01-05-2009,15-11-2009,By Bunny Fursuits,85,Partial,None,Toony,Plantigrade,Four,Brown,Green,Dog Both Cocked Thin Tail,
,Lucky Husky,Dog Husky,52,,,By Bunny Fursuits,85,Partial,None,Toony,N/A,N/A,Green,Purple,Husky,
,Marshall,Hybrid Custom,120,,,By Bunny Fursuits,85,Partial,None,Toony,N/A,N/A,Grey,Red,Hybrid,
Millie Owner: JoyTheBunny Species: DB Added: 2008-11-13 Created: 2008-09-10 Updated: 2010-08-12 Builder(s): Joy the Bunny,Millie,Hybrid Custom,120,10-09-2008,12-08-2010,By Bunny Fursuits,85,Partial,None,Toony,Plantigrade,Other,Brown,Blue,Hybrid,
Nate Owner: JoyTheBunny Species: bear DB Added: 2008-07-21 Created: 2008-05-04 Updated: 2008-07-21 Builder(s): Joy the Bunny,Nate,Bear,11,04-05-2008,21-07-2008,By Bunny Fursuits,85,Partial,None,Toony,Plantigrade,Four,Black,Blue,Bear,
,Pestilence,Dog Rottweiler,60,,,By Bunny Fursuits,85,Partial,None,Toony,Plantigrade,Five,Black,Red,Dog Half Cocked Stub Tail,
,Sarah Maple,Cow,24,,,By Bunny Fursuits,85,Fullsuit,None,Toony,Digitigrade,Other,White,Blue,Cow (Bull),
Tasha Owner: JoyTheBunny Species: german shepherd DB Added: 2009-11-15 Created: 2009-10-10 Updated: 2009-11-15 Builder(s): Joy the Bunny,Tasha,Dog German Shepherd,48,10-10-2009,15-11-2009,By Bunny Fursuits,85,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Dog Thick Tail,
,Abrahm,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Brown,Lion,
,Ailus Tochar,Red Panda,185,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Orange,Blue,Red Panda,
,Al,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,White,Blue,Tiger,
,Alexfin,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Blue,Tiger,
,Alexx the Tiger,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Tiger,
,Alistar,Cat Domestic,18,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Black,Green,Domestic Cat,
,Alkenta,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Lion,
,Amab,Rabbit,182,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Red,Blue,Rabbit,
,Amarok,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Grey,Brown,Wolf,
,Animosus,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Multi,Hybrid,
,Aotora,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Orange,Blue,Tiger,
,Archie,Wild Dog,208,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Orange,Brown,Spotted Dog,
,Arcot,Fantasy - Dragon,78,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Black,Blue,Dragon,
,Arilin Thameslink,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Digitigrade,Five,Blue,Green,Wolf,
,Ascot,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Wolf,
,Autumus,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Green,Lion,
,Axeleonth,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Orange,Lion,
,Ayren,Hybrid Custom,120,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Blue,Multi,Hybrid,
,BaiHu,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Tiger,
,Banana,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Red,Green,Wolf,
,Beau,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,Muscle,Toony,Plantigrade,Five,Grey,Yellow,Hybrid,
,Bengal,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Tiger,
Black Bear Owner: Snapcat Species: bear DB Added: 2009-10-01 Created: 2002-11-01 Updated: 2010-03-24 Builder(s): ByCats4Cats Snap E. Tiger,Black Bear,Bear,11,01-11-2002,24-03-2010,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Grey,Bear,
,Bolt,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Black,Green,Lion,
,Boompuma,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Orange,Green,Hybrid,
,Boost,Cougar,23,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Orange,Feline (Long Tail),
Brandon Lynx Owner: Brandon Lynx Species: lynx DB Added: 2012-11-15 Created: 2012-05-25 Updated: 2012-11-15 Builder(s): ByCats4Cats,Brandon Lynx,Lynx,155,25-05-2012,15-11-2012,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Grey,Blue,Lynx,
,Breakie,Fantasy - Dragon,78,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Black,Red,Dragon,
,Bronson,Deer,28,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Other,Brown,Green,Deer,
,Bujo,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Tiger,
,Calico,Cat Domestic,18,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Domestic Cat,
,Campbell Kid,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Black,Blue,Lion,
,Cantis,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,Wolf,
,Castaic,Jaguar,147,,,ByCats4Cats,86,Fullsuit,None,Toony,Digitigrade,Four,Brown,Green,Spotted Cat,
,Cheesy Feline,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Orange,Yellow,Tiger,
,Chevy Orca,Orca,167,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Missingno (No Avatar Graphic Found),
,Chorpion,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Yellow,Tiger,
,Chu-Tora,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Red,Hybrid,
,Citrix,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Orange,Multi,Wolf,
,CJFur,Dog Domestic,47,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Blue,Dog Half Cocked Stub Tail,
,Claymore,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Blue,Blue,Tiger,
Clorox Owner: firepup Species: lion DB Added: 2006-11-20 Created: 2006-11-01 Updated: 2006-11-20 Builder(s): Snap E. Tiger,Clorox,Lion,152,01-11-2006,20-11-2006,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,White,Blue,Lion,
,Coal,Wild Dog,208,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Yellow,Spotted Dog,
,Cobalt,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,Hybrid,
,Conker,Squirrel,197,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Squirrel,
,Cooper,Dog Domestic,47,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Green,Dog Half Cocked Stub Tail,
CounterSnap Owner: Snapcat Species: tiger DB Added: 2009-03-13 Created: 2007-11-01 Updated: 2010-03-24 Builder(s): ByCats4Cats Snap E. Tiger,Countersnap,Tiger,202,01-11-2007,24-03-2010,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Yellow,Tiger,
,Coutz,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Lion,
,Dalok,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Hybrid,
,Damachi,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Multi,Wolf,
,Danny,Dog Labrador,53,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Pink,Dog Half Cocked Medium Tail,
,Dar,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Red,Lion,
,Datsi Cat,Cougar,23,,,ByCats4Cats,86,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Feline (Long Tail),
,Dax,Red Panda,185,,,ByCats4Cats,86,Fullsuit,None,Toony,Digitigrade,Five,Brown,Green,Red Panda,
,Demetri,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Purple,Purple,Wolf,
,Deron,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Lion,
,Dionysus,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Digitigrade,Five,Grey,Blue,Lion,
,Dodges,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Purple,Wolf,
,Doppelkopf,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Red,Blue,Lion,
,Drake,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Grey,Yellow,Wolf,
,Drake Wolf,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Yellow,Wolf,
,Duo,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,White,Blue,Tiger,
,Dyani,Cougar,23,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Blue,Feline (Long Tail),
,Emoni,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Green,Lion,
,Empty Shadow,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Yellow,Tiger,
,Enzo,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Tiger,
,Eodred,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Tiger,
,Faboo,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Lion,
,Felix,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Purple,Green,Wolf,
,Fen Atomicwolf,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Blue,Blue,Wolf,
,Feral Rignasty,Lynx,155,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Lynx,
,Fizeo,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Hybrid,
,Fletcher,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Grey,Blue,Wolf,
,Flow Fox,Fox,100,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Fox,
,Floyd,Hybrid Custom,120,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Hybrid,
,Foxy,Fox,100,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Fox,
,Friday,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Brown,Green,Lion,
,Futcion,Cheetah,19,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Blue,Spotted Cat,
,Futeko Snowfeather,Cheetah,19,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Brown,Spotted Cat,
,Galvanic,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Orange,Blue,Tiger,
,Gamble,Deer,28,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Blue,Deer,
,Gerri Wolfwooffer,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Blue,Wolf,
,Ghandric,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Yellow,Wolf,
,Ghostie,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Lion,
,Glacier,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Blue,Blue,Hybrid,
,Goku,Fox,100,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,White,Green,Fox,
,Han Fluffcat,Cat Domestic,18,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Grey,Green,Domestic Cat,
,Hodari,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Blue,Lion,
,Hoyt,Snow Leopard,196,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Grey,Blue,Snow Leopard,
Irinyar Owner: Irinae Species: DB Added: 2012-12-10 Created: 2012-07-17 Updated: 2012-12-10 Builder(s): ByCats4Cats,Irinyar,Lion,152,17-07-2012,10-12-2012,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,White,Blue,Lion,
,Jabari,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Black,Lion,
,Jacky,Fox,100,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Orange,Green,Fox,
,Jerms,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Lion,
,Jindall,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Blue,Lion,
,JJ,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,White,Multi,Wolf,
Joe Wolf v2 Owner: JoeWolf Species: mexican wolf DB Added: 2013-04-24 Created: 2012-10-25 Updated: 2013-12-05 Builder(s): ByCats4Cats,Joe Wolf,Wolf,210,25-10-2012,05-12-2013,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Brown,Wolf,
,Joexe,Dog German Shepherd,48,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Multi,Dog Thick Tail,
John Wallaby Owner: johnwallaby Species: lion DB Added: 2012-09-15 Created: 2012-08-27 Updated: 2013-08-22 Builder(s): ByCats4Cats,John Wallaby,Lion,152,27-08-2012,22-08-2013,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Lion,
,JoJo,Snow Leopard,196,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Grey,Brown,Snow Leopard,
,Kadm,Cat Domestic,18,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Green,Domestic Cat,
,Kae,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Brown,Green,Tiger,
,Kahoku,Snow Leopard,196,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Snow Leopard,
,Kaitu,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Blue,Wolf,
,Kamlat,Hybrid Custom,120,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Red,Blue,Hybrid,
,Kandew,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Orange,Lion,
,Kato,Extinct Mammal,71,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Extinct,
Kato Lion Owner: Kijani Species: lion DB Added: 2009-09-11 Created: 2009-09-08 Updated: 2009-09-11 Builder(s): Snap E. Tiger,Kato Lion,Lion,152,08-09-2009,11-09-2009,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Lion,
,Kaz,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Blue,Yellow,Tiger,
,Kei,Panther,172,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Blue,Feline (Long Tail),
,Kelix,Fox,100,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Red,Purple,Fox,
,Kelsier,Deer,28,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Brown,Green,Deer,
,Khaal,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Red,Blue,Lion,
,Khaiger,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Orange,Blue,Tiger,
,Kiguel,Dog Domestic,47,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Dog Half Cocked Stub Tail,
,Kitt3ns,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,White,Green,Tiger,
,Kitta,Bobcat,15,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Bobcat,
,Kitwana,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Orange,Lion,
,Koro,Fox,100,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Blue,Fox,
,Koyia,Snow Leopard,196,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Snow Leopard,
,Krokus,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Digitigrade,Five,Grey,Blue,Lion,
,Kurai,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Blue,Wolf,
,Kurtt,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Yellow,Wolf,
,Kusari Huskami,Hybrid Wusky/Wolfsky,143,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Four,Grey,Multi,Hybrid,
,Lakota Lander,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Lion,
,Leostarr,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Brown,Lion,
,Lhancat,Cat Domestic,18,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Red,Blue,Domestic Cat,
,Lionel,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Yellow,Blue,Lion,
,Lisan,Tiger,202,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Tiger,
,Lonewolf,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,Wolf,
,Lou,Hyena,144,,,ByCats4Cats,86,Fullsuit,None,Toony,Digitigrade,Five,Brown,Blue,Missingno (No Avatar Graphic Found),
,Lucian,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Red,Orange,Wolf,
,Luke,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Lion,
,Lukerative Lion,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Red,Lion,
,Mack Wuff,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Wolf,
Majesty Owner: Drachetto Species: tiger DB Added: 2017-05-07 Created: 2017-05-23 Updated: 2017-07-03 Builder(s): ByCats4Cats,Majesty,Tiger,202,23-05-2017,03-07-2017,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Tiger,
,Makoh,Wild Dog,208,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Spotted Dog,
,Maned Cheetah,Hybrid Custom,120,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Red,Hybrid,
MARF Owner: Snapcat Species: lion DB Added: 2009-03-13 Created: 2009-03-13 Updated: 2010-03-24 Builder(s): ByCats4Cats Snap E. Tiger,Marf,Lion,152,13-03-2009,24-03-2010,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Grey,Lion,
,Marf,Lion,152,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Brown,Grey,Lion,
,MasterKennyG,Fox,100,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Orange,Multi,Fox,
,Matrim,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Black,Blue,Wolf,
"Mavwolf Owner: Mavwolf Species: dragon , wolf DB Added: 2013-12-24 Created: 2013-11-21 Updated: 2013-12-24 Builder(s): ByCats4Cats",Mavwolf,Hybrid Custom,120,21-11-2013,24-12-2013,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Hybrid,
,Max Sutari,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Black,Multi,Tiger,
,Megaris,Wolf,210,,,ByCats4Cats,86,Partial,None,Toony,N/A,N/A,Brown,Yellow,Wolf,
,Mekell,Tiger,202,,,ByCats4Cats,86,Partial,None,Toony,Plantigrade,Five,Blue,Blue,Tiger,
Miezekatze Owner: Miezekatze Species: tiger DB Added: 2013-06-07 Created: 2013-03-16 Updated: 2013-06-07 Builder(s): ByCats4Cats,Miezekatze,Tiger,202,16-03-2013,07-06-2013,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Tiger,
,Miles,Fox,100,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Orange,Blue,Fox,
,Mios,Lion,152,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Five,Blue,Yellow,Lion,
,Mischief,Wolf,210,,,ByCats4Cats,86,Fullsuit,None,Toony,Plantigrade,Four,Black,Multi,Wolf,
