Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
,Tanner,Horse,113,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Brown,Brown,Horse,
,Yusaki Sugami,Wolf,210,,,2 Stupid Furs,3,Partial,None,Toony,Plantigrade,Four,Black,Green,Wolf,
,Bubble Gum,Dog Domestic,47,,,28 Paws Later (Madcrafts),4,Partial,None,Toony,N/A,N/A,Pink,Green,Dog Half Cocked Stub Tail,
,Jay Dowg,Dog Domestic,47,,,28 Paws Later (Madcrafts),4,Fullsuit,None,Toony,Plantigrade,Four,Orange,Blue,Dog Half Cocked Stub Tail,
,Pip,Rabbit,182,,,28 Paws Later (Madcrafts),4,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Rabbit,
,Pop,Rabbit,182,,,28 Paws Later (Madcrafts),4,Fullsuit,None,Toony,Digitigrade,Four,White,Blue,Rabbit,
,Pumpkin Boi,Hybrid Custom,120,,,28 Paws Later (Madcrafts),4,Partial,None,Toony,Plantigrade,Four,Orange,Red,Hybrid,
,Skull Boy,Hybrid Custom,120,,,28 Paws Later (Madcrafts),4,Partial,None,Toony,Plantigrade,Four,White,Green,Hybrid,
,Arctic Fox Head,Fox,100,,,79th Element,5,Partial,None,Toony,N/A,N/A,White,Purple,Fox,
,Banjo,Dog Husky,52,,,79th Element,5,Partial,None,Toony,Plantigrade,Five,Brown,Red,Husky,
,Douglas the Hyena,Hyena,144,,,79th Element,5,Fullsuit,None,Toony,Digitigrade,Five,Brown,Purple,Missingno (No Avatar Graphic Found),
,Goldie,Extinct Mammal,71,,,79th Element,5,Partial,None,Toony,Plantigrade,Five,Brown,Green,Extinct,
,Grave Hyena,Hyena,144,,,79th Element,5,Partial,None,Toony,Plantigrade,Five,Grey,Green,Missingno (No Avatar Graphic Found),
,Husky Partial,Dog Husky,52,,,79th Element,5,Partial,None,Toony,Plantigrade,Five,White,Blue,Husky,
,Kangaroo Head,Kangaroo,148,,,79th Element,5,Partial,None,Toony,N/A,N/A,Brown,Blue,Kangaroo,
,Kologon,Panther,172,,,79th Element,5,Partial,None,Toony,N/A,N/A,Grey,Yellow,Feline (Long Tail),
,Lazer,Snow Leopard,196,,,79th Element,5,Partial,None,Toony,Plantigrade,Five,Grey,Blue,Snow Leopard,
,Woof Dragon,Hybrid Wolgen/Drolf,141,,,79th Element,5,Partial,None,Toony,N/A,N/A,Red,Blue,Hybrid,
,Cosmo,Dog Husky,52,,,8 Foot Rabbit,6,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Husky,
Evergreen Owner: Skyote Species: coyote DB Added: 2012-01-20 Created: 2011-06-12 Updated: 2012-01-20 Builder(s): Skyote,Evergreen,Coyote,25,12-06-2011,20-01-2012,8 Foot Rabbit,6,Fullsuit,None,Toony,Plantigrade,Five,Brown,Black,Dog Thick Tail,
,Flak Husky,Dog Husky,52,,,8 Foot Rabbit,6,Fullsuit,None,Toony,Plantigrade,Four,Brown,Green,Husky,
,Lyrick,Raccoon,183,,,8 Foot Rabbit,6,Fullsuit,None,Toony,Digitigrade,Four,Green,Black,Raccoon,
,Miko Fox,Fox,100,,,8 Foot Rabbit,6,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Fox,
,Sehpy Fluff,Fox,100,,,8 Foot Rabbit,6,Partial,None,Toony,Plantigrade,Four,Orange,Green,Fox,
,Torq,Extinct Mammal,71,,,8 Foot Rabbit,6,Fullsuit,None,Toony,Digitigrade,Four,Grey,Green,Extinct,
,Cassain,Fantasy - Dragon,78,,,8AM,7,Partial,None,Toony,N/A,N/A,Brown,Blue,Dragon,
,Loveletters,Hybrid Dutch Angel Dragon,123,,,8AM,7,Partial,None,Toony,N/A,N/A,White,Green,Angel Dragon,
,Pintra,Cat Domestic,18,,,8AM,7,Fullsuit,None,Toony,Plantigrade,Four,Grey,Orange,Domestic Cat,
,Tang,Hybrid Dutch Angel Dragon,123,,,8AM,7,Partial,None,Toony,N/A,N/A,Orange,Blue,Angel Dragon,
,Tundra,Hybrid Dutch Angel Dragon,123,,,8AM,7,Fullsuit,None,Toony,Digitigrade,Four,Grey,White,Angel Dragon,
,Bazil,Hybrid Custom,120,,,8Bit-Works,8,Fullsuit,Plush,Toony,Digitigrade,Four,Brown,Brown,Hybrid,
,Bolty the Fox,Fox,100,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Yellow,Blue,Fox,
,Bubbles,Dog Mixed Breed,55,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Pink,Green,Dog Half Cocked Medium Tail,
,Cas,Hybrid Custom,120,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Blue,Blue,Hybrid,
